net,length_um
net470,24.46
_0567_,24.44
partial_sum14_1[1],24.44
partial_sum14_2[5],24.44
_1849_,24.38
_2139_,24.38
partial_sum15[11],24.36
_0146_,24.32
_0020_,24.305
_1191_,24.26
_1639_,24.26
partial_sum14[11],24.14
partial_sum14[7],24.14
partial_sum14[8],24.14
partial_sum14[9],24.14
_0521_,24.08
_1566_,24.06
partial_sum14[12],24.02
_1321_,24
_1858_,23.98
_0621_,23.92
_0982_,23.72
_1110_,23.72
_1434_,23.49
sm1.s2.t1.A_wire\[3\],23.46
_1827_,23.44
_2195_,23.41
_0886_,23.38
net387,23.38
_1823_,23.3
_0103_,23.18
_0873_,23.18
net392,23.18
partial_sum14_2[8],23.15
_1586_,23.12
_1148_,23.1
_1898_,23.06
partial_sum14_1[0],23.06
_1319_,23.04
final_sum8[11],23.04
_1595_,23.02
_1104_,22.94
_0779_,22.8
_1746_,22.74
partial_sum16[7],22.66
_1324_,22.62
_1802_,22.62
partial_sum14[0],22.62
_0321_,22.6
_0720_,22.58
_1703_,22.58
_0145_,22.55
_2222_,22.52
_1891_,22.5
sm2.s2.t2.A_wire\[3\],22.36
final_sum8[7],22.34
_1092_,22.28
partial_sum16[6],22.26
_1082_,22.22
_2175_,22.2
partial_sum14[13],22.18
_1155_,22.16
_0368_,22.12
_2346_,22.12
_1437_,22.1
_1651_,22.1
net109,22.1
partial_sum16[4],22.08
final_sum2[3],22.06
net379,22.06
_1620_,22.04
sm2.s1.t2.A_wire\[3\],21.96
_1537_,21.88
_1672_,21.88
partial_sum16[3],21.88
_1042_,21.83
_1533_,21.8
_2099_,21.8
_1408_,21.78
final_sum1[5],21.74
_2315_,21.72
final_sum8[8],21.7
final_sum2[9],21.64
_1883_,21.63
_0365_,21.54
_1507_,21.5
_0794_,21.42
_1610_,21.405
partial_sum16[5],21.4
_0157_,21.39
final_sum8[10],21.38
_1590_,21.32
_1575_,21.3
_1585_,21.3
_2311_,21.28
_1404_,21.22
_1958_,21.19
_1789_,21.12
_0993_,21.1
_0871_,21.08
_1864_,21.06
_1343_,21
_1326_,20.98
_2125_,20.92
final_sum8[9],20.84
partial_sum14_1[3],20.76
_1084_,20.7
_1273_,20.66
_1613_,20.66
_1119_,20.62
_1536_,20.58
_0237_,20.56
_1246_,20.38
_0626_,20.32
_0855_,20.32
_1336_,20.24
_1961_,20.19
_1767_,20.18
sm1.s1.t2.A_wire\[4\],20.18
_1130_,20.16
_1589_,20.16
sm1.s1.t1.A_wire\[3\],20.16
partial_sum14_1[4],20.1
_0098_,20.08
_1667_,20.08
_0502_,20.04
_1548_,20.04
_2176_,20.02
final_sum1[10],20
_0507_,19.98
_1561_,19.98
_1832_,19.9
_0696_,19.86
net465,19.86
final_sum2[2],19.82
_1350_,19.78
_2221_,19.78
net391,19.78
final_sum2[5],19.76
partial_sum16[9],19.76
partial_sum14[6],19.52
_1690_,19.48
sm2.s2.t2.A_wire\[4\],19.48
_1029_,19.46
_1230_,19.46
_1696_,19.46
_1225_,19.44
partial_sum14_1[2],19.42
partial_sum16[12],19.42
partial_sum14_1[5],19.38
_0682_,19.28
_1707_,19.2
_1957_,19.2
_0891_,19.16
_1635_,19.04
_1508_,19
final_sum8[12],18.92
final_sum8[6],18.92
_0381_,18.86
partial_sum14[5],18.82
_0374_,18.78
_0151_,18.76
_1700_,18.72
net84,18.72
_0753_,18.7
_1150_,18.68
_1701_,18.62
_0401_,18.6
